"Date","Location","Tweet","Hashtags","Retweets","Likes","sentiment","prob","negative","positive"
2020-01-01,"Brisbane, Australia","plying to @ironorehopper Interesting, further comment that a coronavirus genetic segment was detected. Seems like something corona'y might be there",nan,0,0,positive,2.2811924693525754,-2.5510965233273737,-0.26990405397479833
2020-01-01,Edinburgh,"Doesn’t help that there the term SARS now seems to refer to any coronavirus (i.e., this ProMedMail report  https://promedmail.org/promed-post/?id=6864153 … - “SARS virus is one of the main pathogens of the common cold in adults”).",nan,1,5,negative,-8.138491318271065,-0.005110637508295213,-8.14360195577936
2020-01-01,"Glenwood Springs, America","One thing seems clear, though: this is a coronavirus, which can spread through the air(same family as the flu), rather than a filovirus like ebolaviridae which can't, so in a busy city like Wuhan in the middle of China, things could move faster than HK.",nan,0,0,negative,-7.936720092644293,-0.005876232388231983,-7.942596325032525
2020-01-01,nan,Anyone know if there is a specific word for SARS vs Coronavirus that google translate has issues with? Wondering if there are non-Chinese speaking translation issues we are being skewed by.,nan,0,1,negative,-3.5853670898314363,-0.11544609920863991,-3.700813189040076
2020-01-01,nan,Houda nahi lauda hota h 🤣🤣🤣saale khul ke samne aao kya kya hizde jaise baat krte,nan,0,0,positive,3.7652632371799086,-3.8676435529590947,-0.10238031577918605
2020-01-01,nan,8-10 cr,nan,0,0,positive,0.847342543045805,-1.4850061989872394,-0.6376636559414344
2020-01-01,nan,Bhai government ne bahot kuch kiya h  Merr hisab se bs kuchh kaam pe dhyaan de inka v muh chup ho jayega last time jaisa Like gdp jobs,nan,0,1,negative,-4.0685013428777665,-0.08352214028991511,-4.152023483167682
2020-01-01,nan,Ab tak to mil hi rha tha na,nan,0,2,negative,-0.29801167102340287,-0.8586754055566246,-1.1566870765800275
2020-01-01,近々転生➭独断と偏見で仲良い奴だけ垢教える,またのTwitter(ぽや),nan,0,0,positive,0.5675365912923853,-1.3114978273552609,-0.7439612360628756
2020-01-01,英国，伦敦,"7 cases of acute pneumonia in Wuhan, China, confirmed as viral pneumonia, but not confirmed as SARS.  SARS is severe acute respiratory syndrome and is caused by a coronavirus. Initial muscle pain, headache, and fever, then respiratory symptoms, cough, dyspnea, and pneumonia.  pic.twitter.com/zTs1Y3sNmx",nan,0,0,negative,-29.0159994660832,-2.657600361999357e-09,-29.0159994687408
